51,22/09/2019 13:00,9/22/2019,Lincoln Financial Field,Philadelphia Eagles,Detroit Lions,null,2019-09-22
52,29/09/2019 13:00,9/29/2019,Ford Field,Detroit Lions,Kansas City Chiefs,null,2019-09-29
53,14/10/2019 20:15,10/14/2019,Lambeau Field,Green Bay Packers,Detroit Lions,null,2019-10-14
54,20/10/2019 13:00,10/20/2019,Ford Field,Detroit Lions,Minnesota Vikings,null,2019-10-20
55,27/10/2019 13:00,10/27/2019,Ford Field,Detroit Lions,New York Giants,null,2019-10-27
56,3/11/2019 16:05:00,11/3/2019,RingCentral Coliseum,Oakland Raiders,Detroit Lions,null,2019-11-03
57,10/11/2019 13:00:00,11/10/2019,Soldier Field,Chicago Bears,Detroit Lions,null,2019-11-10
58,17/11/2019 13:00,11/17/2019,Ford Field,Detroit Lions,Dallas Cowboys,null,2019-11-17
59,24/11/2019 13:00,11/24/2019,FedEx Field,Washington,Detroit Lions,null,2019-11-24
60,28/11/2019 12:30,11/28/2019,Ford Field,Detroit Lions,Chicago Bears,null,2019-11-28
61,8/12/2019 13:00:00,12/8/2019,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2019-12-08
62,15/12/2019 13:00,12/15/2019,Ford Field,Detroit Lions,Tampa Bay Buccaneers,null,2019-12-15
63,22/12/2019 16:05,12/22/2019,Broncos Stadium at Mile High,Denver Broncos,Detroit Lions,null,2019-12-22
64,29/12/2019 13:00,12/29/2019,Ford Field,Detroit Lions,Green Bay Packers,null,2019-12-29
65,13/09/2020 10:00,9/13/2020,Ford Field,Detroit Lions,Chicago Bears,null,2020-09-13
66,20/09/2020 10:00,9/20/2020,Lambeau Field,Green Bay Packers,Detroit Lions,null,2020-09-20
67,27/09/2020 13:25,9/27/2020,State Farm Stadium,Arizona Cardinals,Detroit Lions,null,2020-09-27
68,4/10/2020 10:00:00,10/4/2020,Ford Field,Detroit Lions,New Orleans Saints,null,2020-10-04
69,18/10/2020 10:00,10/18/2020,TIAA Bank Field,Jacksonville Jaguars,Detroit Lions,null,2020-10-18
70,25/10/2020 10:00,10/25/2020,Mercedes-Benz Stadium,Atlanta Falcons,Detroit Lions,null,2020-10-25
71,1/11/2020 10:00:00,11/1/2020,Ford Field,Detroit Lions,Indianapolis Colts,null,2020-11-01
72,8/11/2020 10:00:00,11/8/2020,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2020-11-08
73,15/11/2020 10:00,11/15/2020,Ford Field,Detroit Lions,Washington,null,2020-11-15
74,22/11/2020 10:00,11/22/2020,Bank of America Stadium,Carolina Panthers,Detroit Lions,null,2020-11-22
75,26/11/2020 09:30,11/26/2020,Ford Field,Detroit Lions,Houston Texans,null,2020-11-26
76,6/12/2020 10:00:00,12/6/2020,Soldier Field,Chicago Bears,Detroit Lions,null,2020-12-06
77,13/12/2020 13:25,12/13/2020,Ford Field,Detroit Lions,Green Bay Packers,null,2020-12-13
78,20/12/2020 10:00,12/20/2020,Nissan Stadium,Tennessee Titans,Detroit Lions,null,2020-12-20
79,26/12/2020 10:00,12/26/2020,Ford Field,Detroit Lions,Tampa Bay Buccaneers,null,2020-12-26
80,3/1/2021 10:00:00,1/3/2021,Ford Field,Detroit Lions,Minnesota Vikings,null,2021-01-03
81,12/9/2021 17:00:00,9/12/2021,Ford Field,Detroit Lions,San Francisco 49ers,null,2021-09-12
82,21/09/2021 00:15,9/21/2021,Lambeau Field,Green Bay Packers,Detroit Lions,null,2021-09-21
83,26/09/2021 17:00,9/26/2021,Ford Field,Detroit Lions,Baltimore Ravens,null,2021-09-26
84,3/10/2021 17:00:00,10/3/2021,Soldier Field,Chicago Bears,Detroit Lions,null,2021-10-03
85,10/10/2021 17:00:00,10/10/2021,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,2021-10-10
86,17/10/2021 17:00,10/17/2021,Ford Field,Detroit Lions,Cincinnati Bengals,null,2021-10-17
87,24/10/2021 20:05,10/24/2021,SoFi Stadium,Los Angeles Rams,Detroit Lions,null,2021-10-24
88,31/10/2021 17:00,10/31/2021,Ford Field,Detroit Lions,Philadelphia Eagles,null,2021-10-31
89,14/11/2021 18:00,11/14/2021,Heinz Field,Pittsburgh Steelers,Detroit Lions,null,2021-11-14
90,21/11/2021 18:00,11/21/2021,FirstEnergy Stadium,Cleveland Browns,Detroit Lions,null,2021-11-21
91,25/11/2021 17:30,11/25/2021,Ford Field,Detroit Lions,Chicago Bears,null,2021-11-25
92,5/12/2021 18:00:00,12/5/2021,Ford Field,Detroit Lions,Minnesota Vikings,null,2021-12-05
93,12/12/2021 21:05:00,12/12/2021,Empower Field at Mile High,Denver Broncos,Detroit Lions,null,2021-12-12
94,19/12/2021 18:00,12/19/2021,Ford Field,Detroit Lions,Arizona Cardinals,null,2021-12-19
95,26/12/2021 18:00,12/26/2021,Mercedes-Benz Stadium,Atlanta Falcons,Detroit Lions,null,2021-12-26
96,2/1/2022 21:25:00,1/2/2022,Lumen Field,Seattle Seahawks,Detroit Lions,null,2022-01-02
97,9/1/2022 18:00:00,1/9/2022,Ford Field,Detroit Lions,Green Bay Packers,null,2022-01-09
1,11/9/2016 21:25:00,9/11/2016,Lucas Oil Stadium,Indianapolis Colts,Detroit Lions,null,null
2,18/09/2016 18:00,9/18/2016,Ford Field,Detroit Lions,Tennessee Titans,null,null
3,25/09/2016 18:00,9/25/2016,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
4,2/10/2016 18:00:00,10/2/2016,Soldier Field,Chicago Bears,Detroit Lions,null,null
5,9/10/2016 18:00:00,10/9/2016,Ford Field,Detroit Lions,Philadelphia Eagles,null,null
6,16/10/2016 18:00,10/16/2016,Ford Field,Detroit Lions,Los Angeles Rams,null,null
7,23/10/2016 18:00,10/23/2016,Ford Field,Detroit Lions,Washington,null,null
8,30/10/2016 17:00,10/30/2016,NRG Stadium,Houston Texans,Detroit Lions,null,null
9,6/11/2016 18:00:00,11/6/2106,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
10,20/11/2016 18:00,11/20/2016,Ford Field,Detroit Lions,Jacksonville Jaguars,null,null
11,24/11/2016 17:30,11/24/2016,Ford Field,Detroit Lions,Minnesota Vikings,null,null
12,4/12/2016 18:00:00,12/4/2016,Mercedes-Benz Superdome,New Orleans Saints,Detroit Lions,null,null
13,11/12/2016 18:00:00,12/11/2016,Ford Field,Detroit Lions,Chicago Bears,null,null
14,18/12/2016 18:00,12/18/2016,MetLife Stadium,New York Giants,Detroit Lions,null,null
15,27/12/2016 01:30,12/27/2016,AT&T Stadium,Dallas Cowboys,Detroit Lions,null,null
16,2/1/2017 13:30:00,1/2/2017,Ford Field,Detroit Lions,Green Bay Packers,null,null
17,10/9/2017 13:00:00,9/10/2017,Ford Field,Detroit Lions,Arizona Cardinals,null,null
18,18/09/2017 20:30,9/18/2017,MetLife Stadium,New York Giants,Detroit Lions,null,null
19,24/09/2017 13:00,9/24/2017,Ford Field,Detroit Lions,Atlanta Falcons,null,null
20,1/10/2017 13:00:00,10/1/2017,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
21,8/10/2017 13:00:00,10/8/2017,Ford Field,Detroit Lions,Carolina Panthers,null,null
22,15/10/2017 13:00,10/15/2017,Mercedes-Benz Superdome,New Orleans Saints,Detroit Lions,null,null
23,29/10/2017 20:30,10/29/2017,Ford Field,Detroit Lions,Pittsburgh Steelers,null,null
24,6/11/2017 20:30:00,11/6/2017,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
25,12/11/2017 13:00:00,11/12/2017,Ford Field,Detroit Lions,Cleveland Browns,null,null
26,19/11/2017 13:00,11/19/2017,Soldier Field,Chicago Bears,Detroit Lions,null,null
27,23/11/2017 12:30,11/23/2017,Ford Field,Detroit Lions,Minnesota Vikings,null,null
28,3/12/2017 13:00:00,12/3/2017,M&T Bank Stadium,Baltimore Ravens,Detroit Lions,null,null
29,10/12/2017 13:00:00,12/10/0217,Raymond James Stadium,Tampa Bay Buccaneers,Detroit Lions,null,null
30,16/12/2017 16:30,12/16/2017,Ford Field,Detroit Lions,Chicago Bears,null,null
31,24/12/2017 13:00,12/24/2017,Paul Brown Stadium,Cincinnati Bengals,Detroit Lions,null,null
32,31/12/2017 13:00,12/31/2017,Ford Field,Detroit Lions,Green Bay Packers,null,null
33,10/9/2018 19:10:00,9/10/2018,Ford Field,Detroit Lions,New York Jets,null,null
34,16/09/2018 16:05,9/16/2018,Levi's Stadium,San Francisco 49ers,Detroit Lions,null,null
35,23/09/2018 20:20,9/23/2018,Ford Field,Detroit Lions,New England Patriots,null,null
36,30/09/2018 13:00,9/30/2018,AT&T Stadium,Dallas Cowboys,Detroit Lions,null,null
37,7/10/2018 13:00:00,10/7/2018,Ford Field,Detroit Lions,Green Bay Packers,null,null
38,21/10/2018 13:00,10/21/2018,Hard Rock Stadium,Miami Dolphins,Detroit Lions,null,null
39,28/10/2018 13:00,10/28/2018,Ford Field,Detroit Lions,Seattle Seahawks,null,null
40,4/11/2018 13:00:00,11/4/2018,U.S. Bank Stadium,Minnesota Vikings,Detroit Lions,null,null
41,11/11/2018 13:00:00,11/11/2018,Soldier Field,Chicago Bears,Detroit Lions,null,null
42,18/11/2018 13:00,11/18/2018,Ford Field,Detroit Lions,Carolina Panthers,null,null
43,22/11/2018 12:30,11/22/2018,Ford Field,Detroit Lions,Chicago Bears,null,null
44,2/12/2018 13:00:00,12/2/2018,Ford Field,Detroit Lions,Los Angeles Rams,null,null
45,9/12/2018 16:25:00,12/9/2018,U of Phoenix Stadium,Arizona Cardinals,Detroit Lions,null,null
46,16/12/2018 13:00,12/16/2018,New Era Field,Buffalo Bills,Detroit Lions,null,null
47,23/12/2018 13:00,12/23/2018,Ford Field,Detroit Lions,Minnesota Vikings,null,null
48,30/12/2018 13:00,12/30/2018,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
49,8/9/2019 16:25:00,9/8/2019,State Farm Stadium,Arizona Cardinals,Detroit Lions,null,null
50,15/09/2019 13:00,9/15/2019,Ford Field,Detroit Lions,Los Angeles Chargers,null,null
51,22/09/2019 13:00,9/22/2019,Lincoln Financial Field,Philadelphia Eagles,Detroit Lions,null,null
52,29/09/2019 13:00,9/29/2019,Ford Field,Detroit Lions,Kansas City Chiefs,null,null
53,14/10/2019 20:15,10/14/2019,Lambeau Field,Green Bay Packers,Detroit Lions,null,null
54,20/10/2019 13:00,10/20/2019,Ford Field,Detroit Lions,Minnesota Vikings,null,null
55,27/10/2019 13:00,10/27/2019,Ford Field,Detroit Lions,New York Giants,null,null
56,3/11/2019 16:05:00,11/3/2019,RingCentral Coliseum,Oakland Raiders,Detroit Lions,null,null
57,10/11/2019 13:00:00,11/10/2019,Soldier Field,Chicago Bears,Detroit Lions,null,null
